,testimony_id
0,299
1,28
2,28
3,28
4,28
5,28
6,28
7,28
8,28
9,28
10,180
11,180
12,340
13,1174
14,1332
15,1332
16,1332
17,1332
18,1332
19,1332
20,1332
21,293
22,1235
23,1235
24,1235
25,1235
26,822
27,822
28,822
29,822
30,11
31,368
32,1126
33,1144
34,1144
35,1144
36,1144
37,1144
38,1144
39,1144
40,629
41,629
42,629
43,629
44,629
45,629
46,629
47,142
48,142
49,142
50,713
51,568
52,568
53,413
54,413
55,413
56,689
57,813
58,899
59,899
60,899
61,899
62,899
63,899
64,899
65,635
66,635
67,635
68,646
69,592
70,638
71,638
72,752
73,752
74,752
75,752
76,490
77,490
78,1290
79,1290
80,1290
81,1290
82,1290
83,1290
84,811
85,1477
86,1388
87,1388
88,1388
89,1388
90,1388
91,1503
92,1503
93,1503
94,1503
95,1503
96,1503
97,1503
98,1507
99,1519
100,1519
101,1519
102,1554
103,1586
104,1586
105,1586
106,1570
107,1450
108,1765
109,1765
110,1765
111,1765
112,1795
113,1881
114,1881
115,1881
116,1881
117,1881
118,1881
119,1865
120,1910
121,1910
122,1910
123,1908
124,1908
125,1908
126,1908
127,1836
128,1836
129,1836
130,1836
131,1836
132,1836
133,1836
134,2094
135,2139
136,2139
137,2156
138,2156
139,2156
140,2156
141,2156
142,2423
143,2424
144,2424
145,2212
146,2212
147,2464
148,2517
149,2557
150,2564
151,2549
152,2549
153,2788
154,2743
155,2743
156,2743
157,2938
158,2938
159,2900
160,2991
161,2991
162,2991
163,3002
164,3030
165,3030
166,2915
167,3169
168,3169
169,3184
170,3184
171,3184
172,3215
173,3235
174,3278
175,3278
176,3613
177,3505
178,3403
179,3403
180,3403
181,3763
182,3763
183,3763
184,4106
185,4106
186,4106
187,3699
188,4032
189,4031
190,4031
191,4031
192,4047
193,4049
194,4011
195,4011
196,4011
197,4011
198,4011
199,4371
200,4371
201,4371
202,4371
203,4371
204,6583
205,6106
206,6106
207,6106
208,6257
209,6257
210,6257
211,5159
212,5159
213,4881
214,4881
215,4881
216,5132
217,5132
218,7751
219,7751
220,5181
221,5305
222,5305
223,5356
224,5961
225,5961
226,5961
227,5411
228,5564
229,5564
230,5504
231,5504
232,5504
233,5504
234,5504
235,5504
236,5833
237,5833
238,5833
239,5833
240,5833
241,5833
242,5833
243,5862
244,5862
245,5862
246,8830
247,8830
248,7420
249,7420
250,7420
251,7420
252,7420
253,10060
254,10060
255,10059
256,9417
257,9417
258,9417
259,9417
260,9417
261,5958
262,5958
263,5958
264,9163
265,10415
266,10415
267,6368
268,6368
269,6466
270,9949
271,9949
272,9949
273,6905
274,7255
275,7255
276,7255
277,7255
278,7213
279,7213
280,7213
281,7213
282,7609
283,7363
284,10539
285,10539
286,10539
287,10539
288,7930
289,7930
290,7833
291,7838
292,9208
293,9208
294,7986
295,7986
296,7986
297,7939
298,7939
299,7961
300,7961
301,8162
302,11157
303,11885
304,8412
305,8412
306,8691
307,8691
308,12517
309,12517
310,12517
311,8664
312,8664
313,9029
314,9029
315,9029
316,8984
317,9344
318,9712
319,9308
320,9055
321,9055
322,9920
323,9355
324,9355
325,9355
326,9355
327,9355
328,9355
329,13212
330,13212
331,13212
332,13212
333,9831
334,12428
335,12428
336,12428
337,9693
338,9793
339,9793
340,9980
341,9980
342,9980
343,10525
344,10513
345,10513
346,10915
347,11393
348,11393
349,11393
350,11393
351,14084
352,14084
353,14084
354,14084
355,12681
356,11340
357,11340
358,11191
359,11191
360,11191
361,11191
362,11191
363,11403
364,11403
365,11403
366,11187
367,11187
368,11522
369,11511
370,11474
371,11474
372,11474
373,11474
374,11474
375,11481
376,11481
377,11481
378,11481
379,12247
380,12466
381,13512
382,13512
383,13944
384,12840
385,14641
386,14641
387,14641
388,12991
389,12991
390,12991
391,13776
392,12926
393,12926
394,13194
395,13194
396,13194
397,13194
398,13194
399,13409
400,13409
401,13784
402,13658
403,13658
404,13658
405,13658
406,13986
407,14085
408,14085
409,14085
410,14257
411,14605
412,16398
413,15254
414,15434
415,15434
416,15434
417,15434
418,15434
419,15434
420,14853
421,16047
422,16047
423,16096
424,16749
425,16600
426,17688
427,17688
428,17163
429,16951
430,18097
431,18346
432,18346
433,18526
434,18526
435,18526
436,18526
437,18526
438,18526
439,17883
440,17883
441,17883
442,18679
443,18679
444,19065
445,19065
446,19065
447,19201
448,19235
449,19239
450,19239
451,18925
452,18925
453,18925
454,18925
455,18925
456,19478
457,20358
458,20876
459,20876
460,20876
461,20907
462,20907
463,21440
464,21130
465,22016
466,22016
467,21940
468,21940
469,21940
470,22435
471,22435
472,22918
473,22752
474,23400
475,23185
476,23038
477,24706
478,23728
479,23728
480,23728
481,24852
482,24852
483,24852
484,24852
485,24852
486,24852
487,24852
488,24852
489,24852
490,24852
491,24852
492,24386
493,24386
494,25164
495,25164
496,25164
497,25164
498,25164
499,25164
500,25164
501,24897
502,24897
503,26605
504,26605
505,26264
506,26613
507,27015
508,27015
509,25232
510,27135
511,28942
512,29020
513,29020
514,29020
515,29020
516,29020
517,29020
518,29664
519,28375
520,30031
521,30262
522,30262
523,30432
524,30432
525,30432
526,30432
527,30432
528,30432
529,30689
530,28976
531,31619
532,31619
533,31819
534,31783
535,31783
536,31783
537,31113
538,31113
539,33120
540,32760
541,32760
542,32760
543,34578
544,31480
545,34862
546,34862
547,34862
548,34862
549,35945
550,35945
551,35945
552,36551
553,36838
554,36838
555,37718
556,37718
557,37718
558,38263
559,38263
560,38263
561,38471
562,38929
563,39272
564,39272
565,36242
566,36242
567,36242
568,36242
569,36242
570,36242
571,36242
572,36242
573,40222
574,40222
575,40573
576,41454
577,41454
578,42696
579,42696
580,42673
581,42673
582,43425
583,43425
584,43046
585,43046
586,43046
587,43800
588,43829
589,45080
590,46054
591,47377
592,47907
593,47907
594,47907
595,48293
596,48293
597,48293
598,48293
599,51196
600,50942
601,48604
602,52771
603,52771
604,52771
605,52766
606,54625
607,54624
608,54624
